S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
7845, 3436, 1509, 242, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7830, 3416, 1538, 243, 28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7863, 3421, 1504, 248, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7856, 3450, 1470, 263, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7817, 3510, 1455, 249, 24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7796, 3462, 1508, 262, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7885, 3417, 1456, 276, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7817, 3489, 1478, 250, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7861, 3426, 1488, 263, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7839, 3472, 1473, 255, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7812, 3455, 1519, 249, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7845, 3453, 1465, 275, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7862, 3425, 1479, 272, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7852, 3479, 1413, 294, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7859, 3423, 1487, 263, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7847, 3438, 1505, 244, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7883, 3428, 1496, 230, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7873, 3428, 1463, 268, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7859, 3463, 1461, 250, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7879, 3431, 1455, 262, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7872, 3446, 1478, 229, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7880, 3402, 1474, 274, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
7841, 3464, 1478, 257, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
