S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
8471, 1221, 97, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8484, 1192, 113, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8464, 1206, 119, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8492, 1184, 114, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8475, 1223, 90, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8474, 1208, 107, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8459, 1222, 107, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8455, 1252, 81, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8428, 1270, 90, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8437, 1259, 94, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8438, 1255, 97, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8447, 1236, 108, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8462, 1239, 87, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8460, 1221, 109, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8419, 1269, 101, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8408, 1288, 92, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8433, 1257, 99, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8420, 1275, 94, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8423, 1274, 93, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8419, 1277, 94, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8421, 1276, 94, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8427, 1261, 100, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8437, 1246, 104, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8434, 1256, 93, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8465, 1220, 103, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8441, 1233, 116, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8445, 1219, 122, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8432, 1258, 100, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8446, 1239, 104, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8434, 1261, 95, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8457, 1232, 101, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8465, 1219, 106, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8465, 1233, 92, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8473, 1223, 93, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8476, 1217, 98, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8447, 1236, 107, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8456, 1239, 95, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8419, 1289, 83, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8423, 1276, 92, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8429, 1263, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8443, 1248, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8453, 1242, 93, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8437, 1255, 99, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8444, 1250, 96, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8397, 1308, 84, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8391, 1309, 90, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8411, 1289, 88, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8410, 1299, 79, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8410, 1293, 87, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
