Conf,CNo.,ION,CION,SOL
0, 0, 1337, 1135, 4461
0, 1, 1, 0, 10
0, 2, 1, 0, 11
0, 3, 1, 0, 7
0, 4, 3, 1, 9
0, 5, 18, 14, 70
0, 6, 1, 0, 10
0, 7, 3, 2, 13
0, 8, 5, 1, 33
0, 9, 6, 2, 38
0, 10, 6, 5, 32
0, 11, 1, 0, 10
0, 12, 1, 0, 8
0, 13, 4, 5, 20
0, 14, 4, 2, 16
0, 15, 1, 1, 3
0, 16, 1, 2, 6
0, 17, 1, 0, 11
0, 18, 1, 0, 5
0, 19, 1, 0, 5
0, 20, 1, 0, 10
0, 21, 1, 0, 10
0, 22, 1, 1, 4
0, 23, 1, 2, 5
0, 24, 2, 0, 16
0, 25, 1, 0, 9
0, 26, 1, 0, 5
0, 27, 1, 0, 5
0, 28, 1, 0, 8
0, 29, 8, 4, 41
0, 30, 2, 0, 13
0, 31, 1, 1, 8
0, 32, 5, 3, 16
0, 33, 2, 0, 15
0, 34, 1, 1, 4
0, 35, 1, 0, 9
0, 36, 1, 2, 5
0, 37, 1, 0, 10
0, 38, 1, 0, 9
0, 39, 1, 1, 8
0, 40, 1, 1, 2
0, 41, 2, 0, 3
0, 42, 2, 0, 15
0, 43, 1, 0, 9
0, 44, 1, 0, 2
0, 45, 1, 0, 8
0, 46, 1, 0, 10
0, 47, 3, 2, 10
0, 48, 3, 2, 18
0, 49, 1, 0, 8
0, 50, 1, 0, 11
0, 51, 4, 4, 20
0, 52, 2, 0, 9
0, 53, 1, 0, 2
0, 54, 1, 1, 2
0, 55, 1, 0, 8
0, 56, 2, 0, 16
0, 57, 1, 1, 7
0, 58, 1, 0, 11
0, 59, 1, 0, 3
0, 60, 1, 0, 10
0, 61, 2, 0, 13
0, 62, 5, 3, 24
0, 63, 1, 0, 12
0, 64, 1, 1, 4
0, 65, 1, 1, 5
0, 66, 1, 0, 7
0, 67, 1, 0, 8
0, 68, 1, 0, 8
0, 69, 1, 0, 0
0, 70, 2, 1, 7
0, 71, 1, 2, 6
0, 72, 1, 0, 8
0, 73, 1, 1, 10
0, 74, 3, 2, 20
0, 75, 1, 0, 8
0, 76, 1, 0, 7
0, 77, 1, 1, 6
0, 78, 1, 0, 3
0, 79, 1, 1, 3
0, 80, 1, 2, 1
0, 81, 1, 0, 10
0, 82, 1, 0, 10
0, 83, 2, 2, 16
0, 84, 4, 1, 10
0, 85, 1, 0, 11
0, 86, 1, 0, 5
0, 87, 1, 0, 6
0, 88, 2, 0, 12
0, 89, 3, 1, 22
0, 90, 2, 1, 6
0, 91, 1, 0, 8
0, 92, 1, 0, 9
0, 93, 1, 0, 4
0, 94, 5, 1, 31
0, 95, 1, 0, 8
0, 96, 1, 0, 3
0, 97, 1, 1, 2
0, 98, 1, 1, 7
0, 99, 1, 0, 10
0, 100, 1, 0, 7
0, 101, 2, 0, 14
0, 102, 1, 0, 7
0, 103, 1, 0, 9
0, 104, 2, 0, 11
0, 105, 1, 0, 9
0, 106, 1, 0, 1
0, 107, 1, 0, 7
0, 108, 2, 1, 8
0, 109, 1, 0, 10
