S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
6685, 2302, 695, 100, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6699, 2278, 704, 103, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6649, 2341, 687, 108, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6689, 2255, 750, 91, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6637, 2339, 697, 102, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6668, 2316, 679, 122, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6680, 2302, 700, 100, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6674, 2303, 697, 107, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6601, 2347, 745, 89, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6636, 2359, 690, 101, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6614, 2358, 707, 109, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6609, 2335, 738, 103, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6584, 2395, 693, 112, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6588, 2405, 686, 103, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6628, 2328, 739, 87, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6618, 2331, 737, 95, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
6601, 2369, 701, 112, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6611, 2354, 728, 92, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6592, 2409, 698, 83, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6596, 2384, 716, 92, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6573, 2411, 701, 102, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6602, 2375, 698, 109, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6562, 2417, 700, 106, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6613, 2281, 806, 89, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6637, 2315, 727, 108, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6655, 2274, 754, 99, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6636, 2313, 737, 103, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6629, 2296, 760, 98, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
