Conf,CNo.,ION,CION,SOL
0, 198, 1, 0, 10
0, 199, 1, 0, 9
0, 200, 1, 2, 0
0, 201, 1, 0, 9
0, 202, 1, 0, 9
0, 203, 1, 0, 4
0, 204, 1, 1, 7
0, 205, 1, 0, 6
0, 206, 1, 2, 4
0, 207, 1, 0, 8
0, 208, 1, 1, 3
0, 209, 1, 1, 11
0, 210, 1, 0, 9
1, 0, 921, 759, 1532
1, 1, 2, 2, 3
1, 2, 1, 1, 4
1, 3, 1, 2, 1
1, 4, 1, 2, 2
1, 5, 3, 0, 8
1, 6, 2, 0, 6
1, 7, 1, 0, 5
1, 8, 8, 2, 19
1, 9, 2, 1, 4
1, 10, 1, 0, 6
1, 11, 1, 0, 0
1, 12, 2, 2, 2
1, 13, 1, 0, 3
1, 14, 7, 5, 17
1, 15, 1, 1, 2
1, 16, 6, 3, 15
1, 17, 1, 1, 3
1, 18, 3, 3, 8
1, 19, 1, 2, 4
1, 20, 1, 1, 2
1, 21, 2, 2, 3
1, 22, 1, 1, 1
1, 23, 6, 2, 17
1, 24, 3, 0, 10
1, 25, 6, 4, 19
1, 26, 1, 0, 4
1, 27, 2, 2, 4
1, 28, 1, 1, 3
1, 29, 1, 1, 1
1, 30, 6, 2, 14
1, 31, 3, 1, 11
1, 32, 1, 0, 2
1, 33, 3, 1, 5
1, 34, 1, 0, 5
1, 35, 7, 3, 16
1, 36, 1, 0, 8
1, 37, 6, 2, 11
1, 38, 2, 0, 5
1, 39, 1, 0, 4
1, 40, 2, 1, 8
1, 41, 1, 0, 2
1, 42, 1, 0, 3
1, 43, 1, 1, 2
1, 44, 1, 1, 3
1, 45, 2, 0, 11
1, 46, 1, 0, 5
1, 47, 1, 1, 2
1, 48, 2, 1, 4
1, 49, 1, 0, 1
1, 50, 1, 0, 4
1, 51, 1, 1, 0
1, 52, 2, 2, 1
1, 53, 1, 0, 2
1, 54, 1, 0, 2
1, 55, 3, 0, 12
1, 56, 1, 0, 5
1, 57, 2, 1, 5
1, 58, 3, 1, 11
1, 59, 1, 1, 2
1, 60, 1, 0, 5
1, 61, 2, 0, 6
1, 62, 1, 0, 4
1, 63, 2, 1, 7
1, 64, 2, 2, 0
1, 65, 1, 0, 2
1, 66, 2, 0, 4
1, 67, 1, 0, 6
1, 68, 1, 0, 3
1, 69, 2, 1, 2
1, 70, 2, 1, 8
1, 71, 1, 1, 0
1, 72, 1, 1, 1
1, 73, 1, 0, 4
1, 74, 2, 0, 6
1, 75, 2, 0, 4
1, 76, 4, 1, 13
1, 77, 1, 0, 4
1, 78, 1, 1, 5
1, 79, 1, 0, 2
1, 80, 1, 0, 1
1, 81, 1, 1, 4
1, 82, 1, 0, 5
1, 83, 1, 0, 4
1, 84, 1, 0, 5
1, 85, 2, 0, 6
1, 86, 1, 1, 4
1, 87, 1, 0, 5
1, 88, 1, 0, 8
1, 89, 5, 3, 4
1, 90, 1, 0, 2
1, 91, 1, 0, 3
1, 92, 1, 0, 2
1, 93, 1, 1, 5
1, 94, 1, 0, 5
1, 95, 1, 0, 3
1, 96, 2, 1, 2
1, 97, 1, 1, 2
1, 98, 1, 1, 3
1, 99, 1, 0, 2
1, 100, 1, 1, 1
1, 101, 2, 2, 4
1, 102, 1, 1, 4
1, 103, 3, 1, 8
1, 104, 1, 0, 5
1, 105, 3, 1, 10
1, 106, 1, 1, 2
1, 107, 3, 1, 10
1, 108, 1, 0, 4
1, 109, 1, 1, 4
1, 110, 1, 0, 4
1, 111, 1, 0, 4
1, 112, 2, 0, 8
1, 113, 1, 0, 4
1, 114, 1, 0, 2
1, 115, 2, 2, 9
1, 116, 3, 1, 10
1, 117, 1, 1, 3
1, 118, 1, 0, 2
1, 119, 1, 1, 5
1, 120, 1, 0, 6
1, 121, 2, 1, 5
1, 122, 2, 0, 7
1, 123, 1, 0, 2
1, 124, 3, 1, 7
1, 125, 1, 0, 0
1, 126, 1, 1, 5
1, 127, 1, 1, 4
1, 128, 1, 0, 5
1, 129, 2, 1, 6
1, 130, 1, 1, 0
1, 131, 1, 0, 3
1, 132, 1, 0, 4
1, 133, 1, 1, 3
1, 134, 1, 0, 5
1, 135, 1, 0, 5
1, 136, 1, 0, 6
1, 137, 2, 0, 9
1, 138, 1, 0, 1
1, 139, 2, 0, 5
1, 140, 1, 0, 5
1, 141, 1, 0, 4
1, 142, 2, 0, 3
1, 143, 1, 1, 4
1, 144, 1, 0, 1
1, 145, 2, 1, 3
1, 146, 1, 0, 7
1, 147, 1, 0, 3
1, 148, 1, 0, 2
1, 149, 1, 1, 6
1, 150, 1, 0, 5
1, 151, 1, 0, 1
1, 152, 1, 1, 4
1, 153, 2, 0, 5
1, 154, 1, 0, 8
1, 155, 1, 0, 4
1, 156, 1, 0, 6
1, 157, 1, 0, 4
1, 158, 1, 0, 1
1, 159, 1, 0, 1
1, 160, 1, 0, 4
1, 161, 1, 0, 2
1, 162, 1, 0, 1
1, 163, 1, 0, 3
1, 164, 1, 2, 2
1, 165, 2, 1, 10
1, 166, 1, 0, 2
1, 167, 1, 0, 3
1, 168, 1, 1, 6
1, 169, 1, 0, 2
1, 170, 1, 0, 1
1, 171, 1, 0, 4
1, 172, 1, 0, 3
1, 173, 1, 0, 6
1, 174, 2, 0, 3
1, 175, 1, 0, 3
1, 176, 1, 0, 2
1, 177, 1, 0, 6
1, 178, 1, 0, 6
1, 179, 1, 0, 1
1, 180, 1, 0, 5
1, 181, 2, 0, 7
1, 182, 1, 0, 4
1, 183, 1, 0, 3
1, 184, 1, 0, 3
1, 185, 1, 0, 2
1, 186, 1, 0, 5
1, 187, 1, 0, 3
1, 188, 1, 1, 4
1, 189, 1, 1, 3
1, 190, 1, 0, 5
1, 191, 1, 2, 2
1, 192, 1, 1, 1
1, 193, 1, 0, 3
1, 194, 1, 0, 1
1, 195, 1, 0, 1
1, 196, 1, 1, 1
1, 197, 1, 1, 4
1, 198, 1, 0, 1
1, 199, 1, 0, 1
1, 200, 1, 0, 3
1, 201, 1, 0, 3
1, 202, 1, 1, 0
1, 203, 1, 1, 4
1, 204, 1, 1, 6
1, 205, 1, 0, 5
1, 206, 1, 0, 5
1, 207, 1, 0, 6
1, 208, 1, 0, 1
1, 209, 1, 0, 12
1, 210, 1, 0, 2
1, 211, 1, 0, 5
1, 212, 1, 1, 4
1, 213, 1, 0, 1
1, 214, 1, 1, 6
1, 215, 1, 0, 5
1, 216, 1, 0, 4
2, 0, 924, 763, 1185
2, 1, 2, 1, 0
2, 2, 1, 0, 5
2, 3, 1, 2, 1
2, 4, 7, 1, 19
2, 5, 2, 0, 6
2, 6, 1, 0, 6
2, 7, 2, 1, 6
2, 8, 4, 1, 7
2, 9, 1, 0, 4
2, 10, 2, 1, 6
2, 11, 1, 1, 2
2, 12, 1, 0, 3
2, 13, 2, 1, 3
2, 14, 3, 3, 6
2, 15, 1, 0, 1
2, 16, 1, 1, 1
2, 17, 3, 2, 2
2, 18, 3, 2, 13
2, 19, 3, 2, 9
2, 20, 1, 0, 4
2, 21, 6, 4, 7
2, 22, 1, 0, 3
2, 23, 1, 0, 2
2, 24, 5, 7, 6
2, 25, 1, 1, 3
2, 26, 1, 0, 0
2, 27, 3, 0, 12
2, 28, 1, 0, 4
2, 29, 4, 0, 11
2, 30, 2, 2, 7
2, 31, 4, 4, 1
2, 32, 1, 0, 0
2, 33, 1, 0, 2
2, 34, 2, 0, 7
2, 35, 3, 2, 9
2, 36, 1, 0, 5
2, 37, 7, 5, 7
2, 38, 4, 2, 8
2, 39, 2, 1, 2
2, 40, 1, 0, 4
2, 41, 7, 1, 11
2, 42, 1, 0, 5
2, 43, 2, 1, 4
2, 44, 1, 0, 3
2, 45, 1, 1, 4
2, 46, 1, 0, 3
2, 47, 2, 0, 5
2, 48, 1, 0, 2
2, 49, 1, 1, 0
2, 50, 1, 1, 2
2, 51, 1, 1, 1
2, 52, 2, 2, 2
2, 53, 1, 0, 0
2, 54, 4, 1, 3
2, 55, 1, 0, 1
2, 56, 2, 0, 4
2, 57, 1, 0, 2
2, 58, 1, 0, 0
2, 59, 2, 0, 4
2, 60, 1, 1, 2
2, 61, 1, 0, 1
2, 62, 1, 0, 4
2, 63, 3, 1, 5
2, 64, 1, 0, 4
2, 65, 2, 0, 5
2, 66, 2, 1, 7
2, 67, 1, 0, 5
2, 68, 2, 0, 5
2, 69, 2, 0, 5
2, 70, 1, 0, 1
2, 71, 4, 1, 8
2, 72, 1, 1, 2
2, 73, 3, 3, 4
2, 74, 2, 0, 6
2, 75, 2, 1, 2
2, 76, 1, 0, 3
2, 77, 2, 0, 4
2, 78, 2, 1, 8
2, 79, 1, 1, 3
2, 80, 1, 0, 3
2, 81, 1, 0, 1
2, 82, 1, 0, 4
2, 83, 1, 1, 5
2, 84, 1, 0, 0
2, 85, 1, 0, 2
2, 86, 2, 1, 8
2, 87, 1, 0, 3
2, 88, 2, 2, 7
2, 89, 1, 0, 3
2, 90, 1, 1, 2
2, 91, 1, 0, 2
2, 92, 1, 1, 1
2, 93, 2, 2, 7
2, 94, 1, 1, 1
2, 95, 2, 0, 6
2, 96, 3, 1, 5
2, 97, 1, 0, 2
2, 98, 3, 1, 2
2, 99, 1, 1, 1
2, 100, 1, 1, 8
2, 101, 1, 0, 1
2, 102, 1, 0, 4
2, 103, 3, 1, 5
2, 104, 1, 1, 2
2, 105, 1, 0, 4
2, 106, 1, 0, 5
2, 107, 1, 0, 0
2, 108, 1, 0, 3
2, 109, 1, 0, 4
2, 110, 1, 0, 1
2, 111, 2, 2, 4
2, 112, 3, 2, 6
2, 113, 1, 0, 1
2, 114, 1, 1, 3
2, 115, 1, 0, 1
2, 116, 1, 1, 3
2, 117, 2, 1, 4
2, 118, 1, 0, 3
2, 119, 2, 0, 3
2, 120, 1, 0, 1
2, 121, 2, 0, 3
2, 122, 1, 1, 3
2, 123, 2, 2, 2
2, 124, 1, 0, 2
2, 125, 1, 0, 1
2, 126, 3, 2, 10
2, 127, 3, 2, 0
2, 128, 2, 1, 6
2, 129, 1, 1, 2
2, 130, 1, 0, 4
2, 131, 1, 1, 2
2, 132, 1, 0, 2
2, 133, 1, 1, 6
2, 134, 1, 0, 7
2, 135, 1, 0, 2
2, 136, 1, 0, 2
2, 137, 2, 2, 3
2, 138, 1, 1, 2
2, 139, 1, 0, 6
2, 140, 2, 0, 3
2, 141, 1, 0, 3
2, 142, 1, 1, 2
2, 143, 1, 0, 7
2, 144, 1, 0, 7
2, 145, 1, 0, 4
2, 146, 1, 0, 5
2, 147, 2, 1, 5
2, 148, 1, 0, 2
2, 149, 2, 1, 3
2, 150, 2, 0, 3
2, 151, 1, 0, 3
2, 152, 1, 0, 0
2, 153, 1, 0, 3
2, 154, 1, 0, 2
2, 155, 2, 0, 4
2, 156, 1, 0, 3
2, 157, 1, 0, 5
2, 158, 1, 0, 1
2, 159, 2, 4, 1
2, 160, 1, 0, 0
2, 161, 1, 0, 0
2, 162, 1, 1, 2
2, 163, 1, 3, 1
2, 164, 2, 0, 5
2, 165, 1, 0, 5
2, 166, 1, 1, 1
2, 167, 1, 0, 5
2, 168, 1, 0, 3
2, 169, 1, 0, 2
2, 170, 1, 1, 3
2, 171, 1, 0, 2
2, 172, 1, 1, 2
2, 173, 1, 0, 3
2, 174, 2, 1, 4
2, 175, 1, 0, 3
2, 176, 1, 0, 1
2, 177, 1, 0, 4
2, 178, 1, 0, 0
2, 179, 1, 0, 4
2, 180, 1, 0, 3
2, 181, 1, 0, 4
2, 182, 1, 1, 2
2, 183, 1, 0, 3
2, 184, 1, 0, 4
2, 185, 1, 1, 3
2, 186, 1, 0, 5
2, 187, 1, 2, 1
2, 188, 1, 0, 0
2, 189, 1, 0, 1
2, 190, 1, 0, 1
2, 191, 1, 0, 4
2, 192, 1, 0, 1
2, 193, 1, 0, 4
2, 194, 1, 0, 5
2, 195, 1, 0, 2
2, 196, 1, 1, 5
2, 197, 1, 0, 3
2, 198, 1, 0, 2
2, 199, 1, 1, 1
2, 200, 1, 0, 5
2, 201, 1, 1, 3
2, 202, 1, 0, 4
2, 203, 1, 1, 1
2, 204, 1, 1, 1
2, 205, 1, 0, 0
2, 206, 1, 1, 3
2, 207, 1, 0, 0
2, 208, 1, 0, 3
2, 209, 1, 1, 1
2, 210, 1, 0, 8
2, 211, 1, 0, 4
3, 0, 923, 782, 1222
3, 1, 2, 1, 2
3, 2, 6, 4, 14
3, 3, 1, 0, 4
3, 4, 1, 0, 1
3, 5, 2, 0, 8
3, 6, 1, 0, 4
3, 7, 2, 1, 4
3, 8, 5, 1, 12
3, 9, 7, 5, 18
3, 10, 1, 2, 0
3, 11, 2, 0, 7
3, 12, 1, 0, 1
3, 13, 11, 5, 21
3, 14, 1, 0, 1
