Conf,CNo.,ION,CION,SOL
0, 0, 2, 0, 12
0, 1, 403, 316, 1529
0, 2, 1, 1, 9
0, 3, 1, 0, 9
0, 4, 7, 4, 33
0, 5, 2, 0, 14
0, 6, 4, 3, 16
0, 7, 4, 5, 19
0, 8, 1, 0, 9
0, 9, 4, 1, 23
0, 10, 1, 0, 11
0, 11, 3, 1, 22
0, 12, 1, 0, 8
0, 13, 1, 0, 9
0, 14, 1, 0, 9
0, 15, 12, 2, 76
0, 16, 2, 1, 10
0, 17, 1, 2, 8
0, 18, 2, 0, 20
0, 19, 3, 1, 23
0, 20, 2, 1, 10
0, 21, 5, 2, 33
0, 22, 8, 2, 50
0, 23, 1, 0, 11
0, 24, 1, 0, 7
0, 25, 2, 0, 19
0, 26, 1, 0, 9
0, 27, 1, 0, 8
0, 28, 2, 1, 13
0, 29, 1, 0, 8
0, 30, 2, 0, 15
0, 31, 1, 0, 6
0, 32, 1, 0, 9
0, 33, 1, 0, 11
0, 34, 1, 0, 7
0, 35, 1, 0, 10
0, 36, 1, 0, 3
0, 37, 1, 0, 10
0, 38, 1, 1, 5
0, 39, 1, 0, 8
0, 40, 2, 2, 12
0, 41, 3, 2, 21
0, 42, 1, 0, 7
0, 43, 2, 3, 10
0, 44, 1, 1, 4
0, 45, 4, 1, 28
0, 46, 1, 0, 9
0, 47, 1, 0, 10
0, 48, 2, 0, 8
0, 49, 1, 1, 8
0, 50, 4, 2, 26
0, 51, 1, 0, 6
0, 52, 2, 0, 17
0, 53, 1, 0, 8
0, 54, 1, 0, 11
0, 55, 2, 0, 15
0, 56, 1, 0, 7
0, 57, 3, 3, 23
0, 58, 1, 1, 6
0, 59, 1, 1, 8
0, 60, 1, 1, 8
0, 61, 3, 0, 21
0, 62, 1, 0, 7
0, 63, 1, 1, 5
0, 64, 1, 0, 10
0, 65, 2, 0, 13
0, 66, 1, 0, 11
0, 67, 2, 0, 18
0, 68, 1, 0, 11
0, 69, 1, 0, 9
0, 70, 1, 0, 9
0, 71, 2, 0, 13
0, 72, 4, 2, 21
0, 73, 2, 0, 15
0, 74, 2, 0, 17
0, 75, 1, 0, 7
0, 76, 1, 0, 11
0, 77, 1, 0, 11
0, 78, 2, 0, 15
0, 79, 1, 0, 6
0, 80, 1, 0, 10
0, 81, 1, 0, 12
0, 82, 1, 1, 5
0, 83, 2, 0, 14
0, 84, 1, 0, 10
0, 85, 1, 0, 9
0, 86, 1, 0, 8
0, 87, 1, 1, 6
0, 88, 1, 0, 9
0, 89, 1, 0, 9
0, 90, 1, 0, 11
0, 91, 1, 0, 9
0, 92, 1, 0, 6
0, 93, 1, 1, 6
0, 94, 1, 0, 11
0, 95, 2, 2, 10
0, 96, 1, 0, 9
0, 97, 1, 0, 11
0, 98, 1, 0, 10
0, 99, 2, 0, 15
0, 100, 1, 1, 6
0, 101, 1, 0, 8
0, 102, 2, 1, 9
0, 103, 2, 0, 10
0, 104, 1, 0, 7
0, 105, 1, 0, 10
0, 106, 1, 1, 2
0, 107, 1, 0, 11
0, 108, 1, 0, 9
0, 109, 1, 0, 5
0, 110, 1, 0, 1
0, 111, 1, 0, 8
0, 112, 1, 0, 10
0, 113, 1, 0, 6
0, 114, 1, 0, 9
0, 115, 1, 2, 4
0, 116, 1, 0, 10
0, 117, 1, 0, 5
0, 118, 1, 0, 9
0, 119, 2, 0, 11
0, 120, 1, 0, 4
0, 121, 2, 2, 18
0, 122, 1, 0, 8
0, 123, 1, 0, 8
0, 124, 1, 0, 10
0, 125, 1, 0, 8
0, 126, 1, 0, 10
0, 127, 1, 0, 4
0, 128, 1, 0, 9
0, 129, 1, 0, 7
0, 130, 1, 0, 9
0, 131, 1, 1, 6
0, 132, 1, 0, 2
0, 133, 1, 0, 11
0, 134, 1, 0, 9
0, 135, 1, 0, 10
0, 136, 1, 0, 8
0, 137, 1, 0, 5
0, 138, 1, 0, 8
0, 139, 1, 1, 10
1, 0, 402, 311, 1552
1, 1, 1, 1, 8
1, 2, 1, 0, 8
1, 3, 11, 7, 51
1, 4, 3, 2, 17
1, 5, 4, 2, 28
1, 6, 1, 0, 12
1, 7, 2, 1, 15
1, 8, 1, 1, 10
1, 9, 1, 0, 11
1, 10, 2, 0, 19
1, 11, 9, 2, 59
1, 12, 1, 1, 5
1, 13, 2, 1, 15
1, 14, 3, 0, 22
1, 15, 1, 1, 8
1, 16, 2, 0, 15
1, 17, 6, 3, 38
1, 18, 1, 1, 8
1, 19, 1, 0, 10
1, 20, 1, 0, 8
1, 21, 4, 1, 15
1, 22, 1, 0, 10
1, 23, 1, 0, 8
1, 24, 1, 1, 7
1, 25, 8, 1, 48
1, 26, 1, 0, 6
1, 27, 1, 0, 9
1, 28, 2, 1, 13
1, 29, 1, 1, 8
1, 30, 1, 1, 4
1, 31, 1, 1, 1
1, 32, 2, 2, 16
1, 33, 1, 0, 1
1, 34, 1, 0, 10
1, 35, 1, 0, 7
1, 36, 1, 0, 12
1, 37, 1, 0, 4
1, 38, 1, 0, 8
1, 39, 2, 2, 7
1, 40, 1, 1, 10
1, 41, 1, 0, 4
1, 42, 1, 0, 9
1, 43, 1, 1, 10
1, 44, 3, 2, 20
1, 45, 1, 0, 2
1, 46, 1, 0, 5
1, 47, 2, 2, 15
1, 48, 2, 2, 15
1, 49, 1, 0, 10
1, 50, 1, 1, 10
1, 51, 2, 2, 13
1, 52, 2, 0, 8
1, 53, 1, 2, 2
1, 54, 1, 1, 4
1, 55, 4, 2, 25
1, 56, 1, 0, 12
1, 57, 1, 0, 8
1, 58, 1, 0, 10
1, 59, 1, 0, 10
1, 60, 1, 1, 6
1, 61, 1, 0, 5
1, 62, 3, 3, 19
1, 63, 1, 0, 8
1, 64, 1, 0, 7
1, 65, 1, 0, 9
1, 66, 1, 1, 7
1, 67, 3, 0, 16
1, 68, 1, 1, 4
1, 69, 1, 0, 10
1, 70, 2, 0, 16
1, 71, 1, 0, 7
1, 72, 2, 0, 19
1, 73, 1, 0, 1
1, 74, 1, 0, 12
1, 75, 1, 0, 10
1, 76, 2, 0, 12
1, 77, 3, 2, 17
1, 78, 1, 0, 8
1, 79, 2, 0, 12
1, 80, 1, 0, 6
1, 81, 1, 0, 11
1, 82, 1, 0, 12
1, 83, 1, 0, 10
1, 84, 1, 0, 10
1, 85, 1, 0, 8
1, 86, 1, 0, 8
1, 87, 1, 1, 6
1, 88, 1, 0, 9
1, 89, 1, 0, 8
1, 90, 2, 0, 11
1, 91, 1, 0, 11
1, 92, 1, 1, 8
1, 93, 1, 0, 9
1, 94, 1, 0, 12
1, 95, 1, 0, 11
1, 96, 1, 0, 4
1, 97, 1, 0, 8
1, 98, 1, 0, 9
1, 99, 1, 1, 8
1, 100, 1, 0, 10
1, 101, 1, 0, 11
1, 102, 3, 0, 19
1, 103, 1, 1, 7
1, 104, 1, 1, 8
1, 105, 1, 0, 8
1, 106, 1, 1, 1
1, 107, 1, 0, 5
1, 108, 1, 0, 9
1, 109, 1, 1, 3
1, 110, 1, 0, 11
1, 111, 1, 0, 8
1, 112, 2, 1, 13
1, 113, 1, 0, 5
1, 114, 1, 0, 3
1, 115, 1, 0, 8
1, 116, 1, 0, 8
1, 117, 1, 0, 8
1, 118, 1, 0, 7
1, 119, 1, 2, 5
1, 120, 1, 0, 8
1, 121, 1, 1, 6
1, 122, 1, 0, 4
1, 123, 1, 0, 9
1, 124, 2, 2, 10
1, 125, 1, 0, 4
1, 126, 2, 1, 17
1, 127, 1, 0, 9
1, 128, 1, 0, 9
1, 129, 1, 0, 7
1, 130, 2, 1, 12
1, 131, 1, 0, 7
1, 132, 1, 1, 3
1, 133, 1, 1, 8
1, 134, 1, 0, 7
1, 135, 1, 0, 9
1, 136, 1, 0, 8
1, 137, 1, 0, 10
1, 138, 1, 0, 7
1, 139, 1, 0, 7
1, 140, 1, 0, 9
1, 141, 1, 1, 7
1, 142, 1, 0, 8
1, 143, 1, 0, 9
1, 144, 1, 0, 9
1, 145, 1, 0, 4
1, 146, 1, 0, 6
1, 147, 1, 0, 8
1, 148, 1, 0, 7
1, 149, 1, 1, 9
2, 0, 367, 298, 1367
2, 1, 1, 1, 9
2, 2, 1, 0, 10
2, 3, 2, 0, 8
2, 4, 2, 0, 14
2, 5, 2, 3, 10
2, 6, 1, 0, 7
2, 7, 18, 8, 84
2, 8, 4, 2, 23
2, 9, 1, 0, 11
2, 10, 1, 1, 11
2, 11, 1, 1, 11
2, 12, 4, 1, 26
2, 13, 1, 0, 8
2, 14, 2, 1, 20
2, 15, 1, 0, 10
2, 16, 1, 0, 5
2, 17, 1, 1, 8
2, 18, 3, 0, 26
2, 19, 4, 2, 30
2, 20, 2, 0, 13
2, 21, 1, 0, 6
2, 22, 3, 4, 8
2, 23, 6, 2, 42
2, 24, 7, 1, 40
2, 25, 1, 0, 11
2, 26, 1, 1, 9
2, 27, 1, 0, 8
2, 28, 1, 0, 10
2, 29, 1, 0, 7
2, 30, 1, 1, 8
2, 31, 2, 0, 8
2, 32, 1, 0, 7
2, 33, 3, 1, 14
2, 34, 2, 0, 16
2, 35, 1, 1, 8
2, 36, 2, 2, 13
2, 37, 1, 0, 3
2, 38, 1, 0, 9
2, 39, 2, 0, 20
