Conf,CNo.,ION,CION,SOL
0, 0, 1, 1, 9
0, 1, 5, 1, 32
0, 2, 1, 0, 10
0, 3, 2, 1, 16
0, 4, 3, 2, 22
0, 5, 1, 0, 10
0, 6, 3, 0, 23
0, 7, 1, 0, 7
0, 8, 1, 1, 10
0, 9, 1, 1, 9
0, 10, 1, 0, 11
0, 11, 1, 0, 9
0, 12, 1, 0, 10
0, 13, 1, 2, 6
0, 14, 1, 1, 8
0, 15, 2, 1, 13
0, 16, 2, 0, 17
0, 17, 1, 0, 9
0, 18, 11, 6, 65
0, 19, 3, 0, 22
0, 20, 3, 0, 24
0, 21, 2, 0, 16
0, 22, 2, 1, 12
0, 23, 1, 1, 8
0, 24, 3, 0, 26
0, 25, 1, 0, 9
0, 26, 1, 1, 8
0, 27, 1, 0, 11
0, 28, 2, 0, 12
0, 29, 1, 0, 10
0, 30, 2, 1, 15
0, 31, 1, 0, 10
0, 32, 1, 0, 6
0, 33, 3, 1, 22
0, 34, 4, 4, 25
0, 35, 2, 0, 15
0, 36, 7, 3, 41
0, 37, 1, 0, 8
0, 38, 2, 0, 13
0, 39, 3, 0, 21
0, 40, 2, 1, 13
0, 41, 5, 2, 30
0, 42, 1, 0, 4
0, 43, 1, 0, 6
0, 44, 2, 1, 14
0, 45, 2, 1, 13
0, 46, 1, 0, 12
0, 47, 6, 2, 38
0, 48, 1, 0, 11
0, 49, 1, 0, 10
0, 50, 4, 1, 30
0, 51, 1, 1, 8
0, 52, 4, 0, 26
0, 53, 1, 0, 10
0, 54, 2, 1, 13
0, 55, 3, 0, 20
0, 56, 1, 0, 7
0, 57, 3, 1, 20
0, 58, 1, 1, 9
0, 59, 1, 1, 4
0, 60, 1, 0, 6
0, 61, 1, 1, 8
0, 62, 2, 0, 14
0, 63, 1, 1, 7
0, 64, 1, 0, 10
0, 65, 1, 0, 7
0, 66, 6, 1, 40
0, 67, 1, 1, 8
0, 68, 2, 2, 15
0, 69, 1, 1, 7
0, 70, 1, 0, 9
0, 71, 2, 0, 18
0, 72, 4, 2, 29
0, 73, 1, 0, 10
0, 74, 1, 0, 7
0, 75, 3, 3, 19
0, 76, 3, 1, 21
0, 77, 1, 0, 5
0, 78, 3, 1, 22
0, 79, 1, 0, 9
0, 80, 1, 1, 7
0, 81, 1, 0, 8
0, 82, 4, 2, 23
0, 83, 3, 0, 17
0, 84, 1, 0, 7
0, 85, 1, 1, 8
0, 86, 1, 0, 8
0, 87, 1, 0, 9
0, 88, 1, 0, 9
0, 89, 1, 1, 6
0, 90, 2, 1, 16
0, 91, 1, 0, 9
0, 92, 1, 0, 8
0, 93, 1, 1, 9
0, 94, 4, 1, 30
0, 95, 1, 0, 9
0, 96, 1, 0, 8
0, 97, 1, 1, 7
0, 98, 1, 0, 7
0, 99, 1, 0, 4
0, 100, 3, 1, 21
0, 101, 1, 1, 6
0, 102, 2, 0, 10
0, 103, 2, 0, 18
0, 104, 1, 0, 8
0, 105, 3, 2, 21
0, 106, 2, 1, 16
0, 107, 1, 0, 12
0, 108, 1, 1, 7
0, 109, 2, 0, 18
0, 110, 1, 0, 9
0, 111, 1, 0, 10
0, 112, 1, 0, 9
0, 113, 1, 0, 7
0, 114, 2, 0, 18
0, 115, 1, 1, 9
0, 116, 1, 0, 8
0, 117, 1, 1, 7
0, 118, 2, 0, 12
0, 119, 1, 1, 7
0, 120, 1, 0, 5
0, 121, 1, 0, 10
0, 122, 1, 0, 11
0, 123, 3, 1, 22
0, 124, 1, 0, 6
0, 125, 2, 2, 15
0, 126, 1, 0, 8
0, 127, 1, 0, 8
0, 128, 1, 0, 8
0, 129, 2, 2, 14
0, 130, 1, 1, 6
0, 131, 1, 0, 9
0, 132, 1, 0, 6
0, 133, 1, 1, 8
0, 134, 1, 0, 10
0, 135, 1, 1, 10
0, 136, 2, 1, 15
0, 137, 1, 0, 8
0, 138, 1, 0, 6
0, 139, 1, 0, 9
0, 140, 1, 0, 10
0, 141, 1, 0, 7
0, 142, 1, 1, 2
0, 143, 1, 1, 10
0, 144, 1, 0, 10
0, 145, 1, 0, 7
0, 146, 1, 0, 8
0, 147, 1, 1, 5
0, 148, 1, 0, 11
0, 149, 1, 0, 7
0, 150, 3, 2, 18
0, 151, 1, 0, 8
0, 152, 2, 2, 9
0, 153, 1, 0, 7
0, 154, 3, 2, 22
0, 155, 1, 0, 10
0, 156, 1, 0, 5
0, 157, 1, 0, 10
0, 158, 1, 1, 9
0, 159, 1, 1, 10
0, 160, 1, 0, 8
0, 161, 1, 0, 9
0, 162, 1, 0, 11
0, 163, 1, 0, 7
0, 164, 1, 0, 10
0, 165, 1, 1, 2
0, 166, 1, 0, 11
0, 167, 1, 0, 8
0, 168, 1, 0, 10
0, 169, 1, 0, 6
0, 170, 1, 0, 9
0, 171, 1, 0, 7
0, 172, 1, 0, 8
0, 173, 2, 1, 15
0, 174, 1, 1, 6
0, 175, 1, 2, 0
0, 176, 1, 0, 9
0, 177, 1, 0, 9
0, 178, 1, 0, 10
0, 179, 1, 1, 9
0, 180, 1, 0, 5
0, 181, 1, 0, 11
0, 182, 1, 0, 8
0, 183, 1, 0, 9
0, 184, 1, 0, 9
0, 185, 2, 0, 14
0, 186, 1, 1, 8
0, 187, 1, 0, 8
0, 188, 1, 0, 11
0, 189, 1, 0, 5
0, 190, 1, 0, 8
0, 191, 1, 1, 7
0, 192, 1, 0, 12
0, 193, 1, 0, 4
0, 194, 1, 0, 12
1, 0, 4, 1, 29
1, 1, 6, 3, 39
1, 2, 1, 0, 10
1, 3, 2, 0, 12
1, 4, 1, 1, 8
1, 5, 1, 0, 9
1, 6, 1, 0, 8
1, 7, 1, 2, 7
1, 8, 2, 1, 16
1, 9, 1, 0, 9
1, 10, 1, 0, 7
1, 11, 1, 0, 11
1, 12, 1, 2, 6
1, 13, 3, 0, 25
1, 14, 2, 0, 15
1, 15, 2, 0, 15
1, 16, 1, 0, 12
1, 17, 8, 3, 53
1, 18, 2, 0, 15
1, 19, 4, 0, 29
1, 20, 2, 0, 16
1, 21, 2, 2, 9
1, 22, 1, 1, 10
1, 23, 1, 0, 9
1, 24, 1, 0, 10
1, 25, 1, 0, 7
1, 26, 1, 0, 11
1, 27, 3, 2, 19
1, 28, 1, 0, 9
1, 29, 1, 1, 10
1, 30, 1, 0, 8
1, 31, 1, 0, 13
1, 32, 3, 2, 23
1, 33, 1, 1, 8
1, 34, 3, 0, 22
1, 35, 7, 4, 41
1, 36, 2, 1, 15
1, 37, 1, 0, 7
1, 38, 3, 0, 28
1, 39, 4, 1, 22
1, 40, 6, 1, 33
1, 41, 5, 3, 31
1, 42, 4, 2, 23
1, 43, 3, 1, 26
1, 44, 2, 1, 14
1, 45, 1, 0, 8
1, 46, 2, 0, 15
1, 47, 1, 0, 10
1, 48, 1, 0, 9
1, 49, 4, 1, 29
1, 50, 2, 2, 13
1, 51, 2, 0, 18
1, 52, 3, 2, 17
1, 53, 1, 0, 11
1, 54, 2, 1, 17
1, 55, 1, 0, 5
1, 56, 6, 3, 37
1, 57, 9, 5, 48
1, 58, 3, 3, 19
1, 59, 1, 0, 7
1, 60, 1, 0, 12
1, 61, 2, 0, 14
1, 62, 1, 2, 7
1, 63, 2, 0, 15
1, 64, 7, 2, 47
1, 65, 2, 0, 16
1, 66, 3, 1, 13
1, 67, 1, 0, 10
1, 68, 2, 0, 17
1, 69, 2, 0, 17
1, 70, 2, 0, 17
1, 71, 2, 1, 13
1, 72, 4, 1, 31
1, 73, 2, 0, 16
1, 74, 1, 0, 7
1, 75, 1, 1, 8
1, 76, 3, 1, 15
1, 77, 1, 0, 9
1, 78, 1, 1, 4
1, 79, 1, 0, 10
1, 80, 1, 1, 10
1, 81, 1, 0, 10
1, 82, 3, 2, 15
1, 83, 1, 0, 9
1, 84, 1, 1, 8
1, 85, 1, 2, 4
1, 86, 3, 2, 23
1, 87, 1, 0, 9
1, 88, 1, 0, 10
1, 89, 1, 1, 5
1, 90, 3, 0, 15
1, 91, 1, 0, 9
1, 92, 1, 0, 10
1, 93, 1, 1, 8
1, 94, 1, 0, 12
1, 95, 1, 0, 9
1, 96, 3, 1, 20
1, 97, 2, 0, 18
1, 98, 1, 0, 12
1, 99, 1, 1, 10
1, 100, 2, 0, 18
1, 101, 1, 0, 8
1, 102, 1, 0, 8
1, 103, 1, 0, 7
1, 104, 1, 0, 6
1, 105, 2, 0, 16
1, 106, 1, 1, 8
1, 107, 1, 0, 10
1, 108, 2, 1, 11
1, 109, 1, 0, 8
1, 110, 2, 0, 17
1, 111, 1, 0, 8
1, 112, 1, 0, 9
1, 113, 1, 0, 9
1, 114, 1, 0, 8
1, 115, 1, 1, 9
1, 116, 3, 0, 22
1, 117, 1, 1, 9
1, 118, 1, 0, 7
1, 119, 3, 1, 20
1, 120, 2, 0, 14
1, 121, 1, 0, 4
1, 122, 1, 0, 8
1, 123, 1, 0, 9
1, 124, 1, 0, 9
1, 125, 1, 0, 9
1, 126, 2, 2, 13
1, 127, 2, 0, 16
1, 128, 1, 0, 9
1, 129, 1, 0, 8
1, 130, 1, 1, 6
1, 131, 1, 0, 9
1, 132, 1, 0, 8
1, 133, 1, 0, 10
1, 134, 1, 0, 7
1, 135, 1, 0, 7
1, 136, 1, 0, 9
1, 137, 1, 0, 6
1, 138, 1, 0, 9
1, 139, 1, 0, 9
1, 140, 2, 1, 15
1, 141, 4, 2, 27
1, 142, 1, 0, 7
1, 143, 1, 0, 8
1, 144, 1, 0, 13
1, 145, 2, 1, 9
1, 146, 1, 1, 10
1, 147, 1, 0, 9
1, 148, 1, 0, 9
1, 149, 1, 1, 7
1, 150, 1, 2, 6
1, 151, 1, 0, 7
1, 152, 1, 1, 9
1, 153, 1, 0, 11
1, 154, 1, 0, 4
1, 155, 1, 0, 11
1, 156, 1, 0, 9
1, 157, 1, 0, 7
1, 158, 1, 0, 3
1, 159, 1, 0, 8
1, 160, 2, 0, 17
1, 161, 1, 0, 9
1, 162, 2, 1, 15
1, 163, 1, 0, 8
1, 164, 1, 0, 8
1, 165, 1, 0, 11
1, 166, 1, 0, 8
1, 167, 1, 0, 10
1, 168, 1, 0, 9
1, 169, 1, 0, 8
1, 170, 1, 0, 5
1, 171, 1, 0, 11
1, 172, 1, 0, 10
1, 173, 2, 0, 16
1, 174, 1, 1, 10
1, 175, 1, 0, 10
1, 176, 1, 0, 9
1, 177, 1, 0, 9
1, 178, 1, 0, 10
2, 0, 4, 0, 31
2, 1, 2, 0, 13
2, 2, 1, 0, 11
2, 3, 2, 0, 16
2, 4, 2, 0, 16
2, 5, 9, 4, 56
2, 6, 1, 1, 8
2, 7, 1, 1, 8
2, 8, 1, 0, 9
2, 9, 1, 0, 12
2, 10, 2, 0, 14
2, 11, 1, 0, 10
2, 12, 1, 1, 9
2, 13, 3, 1, 19
2, 14, 3, 0, 26
2, 15, 2, 0, 18
2, 16, 1, 0, 10
2, 17, 8, 4, 53
2, 18, 1, 0, 12
2, 19, 3, 2, 22
2, 20, 2, 0, 16
2, 21, 2, 2, 10
2, 22, 1, 1, 8
2, 23, 1, 0, 8
2, 24, 1, 0, 9
2, 25, 1, 0, 7
2, 26, 1, 0, 9
2, 27, 2, 1, 15
2, 28, 1, 0, 10
2, 29, 1, 1, 8
2, 30, 1, 1, 10
2, 31, 1, 0, 8
2, 32, 5, 3, 32
2, 33, 1, 1, 8
2, 34, 2, 0, 14
2, 35, 7, 4, 38
2, 36, 2, 1, 14
2, 37, 2, 1, 14
2, 38, 3, 0, 20
2, 39, 1, 0, 10
2, 40, 2, 2, 12
2, 41, 5, 1, 29
2, 42, 3, 1, 22
2, 43, 2, 1, 14
2, 44, 1, 0, 13
2, 45, 3, 2, 21
2, 46, 1, 1, 10
2, 47, 1, 0, 8
2, 48, 4, 1, 31
2, 49, 2, 2, 15
2, 50, 1, 1, 6
2, 51, 1, 0, 12
2, 52, 1, 1, 5
2, 53, 1, 1, 7
2, 54, 1, 1, 9
2, 55, 1, 0, 6
2, 56, 1, 0, 8
2, 57, 5, 1, 31
2, 58, 13, 4, 73
2, 59, 3, 0, 20
2, 60, 1, 0, 7
2, 61, 1, 0, 9
2, 62, 3, 0, 20
2, 63, 1, 1, 8
2, 64, 1, 0, 9
2, 65, 2, 0, 13
2, 66, 1, 0, 13
2, 67, 2, 1, 14
2, 68, 4, 2, 23
2, 69, 3, 1, 15
2, 70, 1, 0, 9
2, 71, 1, 0, 7
2, 72, 4, 2, 23
2, 73, 1, 1, 8
2, 74, 1, 0, 7
2, 75, 2, 0, 12
2, 76, 4, 1, 32
2, 77, 3, 0, 23
2, 78, 2, 0, 11
2, 79, 1, 0, 10
2, 80, 5, 1, 31
2, 81, 1, 1, 11
2, 82, 1, 2, 7
2, 83, 1, 0, 12
2, 84, 1, 1, 7
2, 85, 1, 0, 9
2, 86, 3, 2, 16
2, 87, 1, 0, 10
