S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
7477, 1978, 314, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7467, 1979, 329, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7457, 2016, 299, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7429, 2039, 308, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7416, 2050, 304, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7457, 2039, 276, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7461, 2034, 273, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7433, 2068, 274, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7424, 2064, 277, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7408, 2061, 296, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7454, 2017, 301, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7421, 2067, 287, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7453, 2023, 300, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7399, 2060, 320, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7420, 2074, 290, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7428, 2051, 298, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7470, 2030, 275, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7465, 1993, 313, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7453, 1995, 328, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7466, 1973, 339, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7447, 2013, 312, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7411, 2058, 300, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7406, 2082, 281, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7421, 2024, 324, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7448, 2002, 319, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7419, 2076, 278, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7441, 2042, 291, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7412, 2079, 284, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7388, 2121, 268, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7435, 2036, 306, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7475, 1988, 312, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7449, 2025, 299, 17, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7429, 2025, 312, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7457, 2001, 314, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7427, 2049, 299, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7439, 2031, 297, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
